192.168.0.68 - - [06/Aug/2016:11:02:40 +0300] "GET /jira/s/5976404d53a099f8315503d0bc675882-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:nutshell-component/com.atlassian.jira.jira-onboarding-assets-plugin:nutshell-component.css HTTP/1.1" 200 778
192.168.0.68 - - [06/Aug/2016:11:02:40 +0300] "GET /jira/s/5976404d53a099f8315503d0bc675882-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:decorator-resources/com.atlassian.jira.jira-onboarding-assets-plugin:decorator-resources.css HTTP/1.1" 200 379
192.168.0.68 - - [06/Aug/2016:11:02:40 +0300] "GET /jira/s/5b28ee398da148313e912a0c08d76ba4-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.3.3/_/download/batch/com.atlassian.jira.plugins.inline-create.jira-inline-issue-create-plugin:component-widget/com.atlassian.jira.plugins.inline-create.jira-inline-issue-create-plugin:component-widget.css HTTP/1.1" 200 1269
192.168.0.68 - - [06/Aug/2016:11:02:40 +0300] "GET /jira/s/1eec6b522da113a9facf325ddd4367d6-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/8.0.13/_/download/batch/com.atlassian.jira.jira-issue-nav-components:issueviewer/com.atlassian.jira.jira-issue-nav-components:issueviewer.css HTTP/1.1" 200 6695
192.168.0.68 - - [06/Aug/2016:11:02:40 +0300] "GET /jira/s/42e39823ff42a3e4375b3ad69050532c-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/2.0/_/download/batch/com.atlassian.jira.jira-baseurl-plugin:baseurl-lib/com.atlassian.jira.jira-baseurl-plugin:baseurl-lib.js?locale=ru-RU HTTP/1.1" 200 1231
192.168.0.68 - - [06/Aug/2016:11:02:40 +0300] "GET /jira/s/42e39823ff42a3e4375b3ad69050532c-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/2.3.1/_/download/batch/com.atlassian.jira.jira-tzdetect-plugin:tzdetect-lib/com.atlassian.jira.jira-tzdetect-plugin:tzdetect-lib.js?locale=ru-RU HTTP/1.1" 200 3927
192.168.0.68 - - [06/Aug/2016:11:02:40 +0300] "GET /jira/s/42e39823ff42a3e4375b3ad69050532c-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-postsetup-announcements-plugin:post-setup-announcements/com.atlassian.jira.jira-postsetup-announcements-plugin:post-setup-announcements.js?locale=ru-RU HTTP/1.1" 200 1511
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/5976404d53a099f8315503d0bc675882-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:next-step-component/com.atlassian.jira.jira-onboarding-assets-plugin:next-step-component.css HTTP/1.1" 200 294
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/5.0.10/_/download/batch/com.atlassian.analytics.analytics-client:js-events/com.atlassian.analytics.analytics-client:js-events.js HTTP/1.1" 200 6913
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/4103767dc9a0e22f17dffd7adfcdeb1e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/cd552f7df49765d82feeb4ce4bb507ca/_/download/contextbatch/js/jira.global,-_super/batch.js?locale=ru-RU HTTP/1.1" 200 12488
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/42e39823ff42a3e4375b3ad69050532c-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-postsetup-announcements-plugin:post-setup-announcements-lib/com.atlassian.jira.jira-postsetup-announcements-plugin:post-setup-announcements-lib.js?locale=ru-RU HTTP/1.1" 200 3098
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:sequence-controller-component/com.atlassian.jira.jira-onboarding-assets-plugin:sequence-controller-component.js HTTP/1.1" 200 2396
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:analytics/com.atlassian.jira.jira-onboarding-assets-plugin:analytics.js HTTP/1.1" 200 720
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:sequence-common/com.atlassian.jira.jira-onboarding-assets-plugin:sequence-common.js HTTP/1.1" 200 689
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:promise/com.atlassian.jira.jira-onboarding-assets-plugin:promise.js HTTP/1.1" 200 29347
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/42e39823ff42a3e4375b3ad69050532c-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:loading-sequence/com.atlassian.jira.jira-onboarding-assets-plugin:loading-sequence.js?locale=ru-RU HTTP/1.1" 200 1069
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/42e39823ff42a3e4375b3ad69050532c-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:choose-language-component/com.atlassian.jira.jira-onboarding-assets-plugin:choose-language-component.js?locale=ru-RU HTTP/1.1" 200 4795
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/42e39823ff42a3e4375b3ad69050532c-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:avatar-picker-component/com.atlassian.jira.jira-onboarding-assets-plugin:avatar-picker-component.js?locale=ru-RU HTTP/1.1" 200 2322
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/0.7.0/_/download/batch/com.atlassian.plugin.jslibs:moment-2.6.0/com.atlassian.plugin.jslibs:moment-2.6.0.js HTTP/1.1" 200 19384
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:jquery-easing/jira.webresources:jquery-easing.js HTTP/1.1" 200 2076
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/42e39823ff42a3e4375b3ad69050532c-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:avatar-picker/jira.webresources:avatar-picker.js?locale=ru-RU HTTP/1.1" 200 13980
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/0.5.4/_/download/batch/com.atlassian.pocketknife.featureflags-plugin:pocketknife-feature-flags/com.atlassian.pocketknife.featureflags-plugin:pocketknife-feature-flags.js HTTP/1.1" 200 732
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:jquery-fancybox/jira.webresources:jquery-fancybox.js HTTP/1.1" 200 7661
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/0c5e7128d282297e5987bb004a0f2488-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:jquery-livestamp/jira.webresources:jquery-livestamp.js?locale=ru-RU HTTP/1.1" 200 2725
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-fileviewer-plugin:fileviewer/com.atlassian.jira.jira-fileviewer-plugin:fileviewer.js HTTP/1.1" 200 1667
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/0c5e7128d282297e5987bb004a0f2488-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:momentjs/jira.webresources:momentjs.js?locale=ru-RU HTTP/1.1" 200 1665
